SEQ,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
819,274,2019-11-30 02:51:49.727865599,,,,,,310.420672503602,,
820,275,2019-11-11 05:47:23.710819200,RESPONSE,,,,,,,
821,275,2019-11-12 04:08:52.850256000,RISK,,,,,,,
822,275,2019-11-17 00:47:40.934860800,APPROVED,PLASTIC,48,200,32,,,
823,275,2019-11-17 11:44:30.300403200,DELIVERED,,,,,,53100,2
824,275,2019-12-15 02:12:58.034303999,,,,,,19.3249449190395,,
825,275,2019-12-30 19:02:57.442473599,,,,,,30.313459127613,,
826,275,2019-12-31 01:07:29.362972799,,,,,,2247.47769546351,,
827,275,2019-12-31 09:12:28.971705598,,,,,,41.4457389403148,,
828,276,2019-11-11 08:33:03.642105600,RESPONSE,,,,,,,
829,276,2019-11-15 07:29:26.395065600,RISK,,,,,,,
830,276,2019-11-16 21:06:42.305529600,APPROVED,PLASTIC,43,8500,43,,,
831,276,2019-11-17 00:32:54.813868799,DELIVERED,,,,,,44620,2
832,276,2019-11-25 21:53:22.130879999,,,,,,2229.59909824492,,
833,276,2019-11-27 02:07:13.061740799,,,,,,128.260560148246,,
834,277,2019-11-11 00:00:00.000000000,,,,,,,,
835,279,2019-11-11 11:47:18.995625600,RESPONSE,,,,,,,
836,279,2019-11-21 22:49:43.028284800,RISK,,,,,,,
837,279,2019-11-23 00:17:16.718956800,APPROVED,PLASTIC,48,8600,45,,,
838,279,2019-11-27 05:11:22.912051200,DELIVERED,,,,,,11560,3
839,279,2019-11-30 14:27:59.449305600,,,,,,498.077140868119,,
840,279,2019-12-01 21:03:48.498105600,,,,,,179.631910069427,,
841,280,2019-11-23 10:59:35.416924800,RESPONSE,,,,,,,
842,280,2019-11-24 12:50:38.897087999,RISK,,,,,,,
843,280,2019-11-26 11:56:05.559215999,APPROVED,PLASTIC,44,2300,42,,,
844,280,2019-12-04 08:24:14.338425599,DELIVERED,,,,,,11560,2
845,280,2019-12-04 10:20:49.985635199,,,,,,78.0960741639273,,
846,280,2019-12-05 13:10:17.881161599,,,,,,114.952354188815,,
847,280,2019-12-07 06:22:54.416985598,,,,,,601.099262464013,,
848,280,2019-12-07 06:56:44.040335998,,,,,,1394.11536544473,,
849,282,2019-11-20 01:25:33.189801600,RESPONSE,,,,,,,
850,282,2019-11-20 05:46:16.831344000,RISK,,,,,,,
851,282,2019-11-22 15:58:06.223238400,REJECTED,MOP,,,,,,
852,284,2019-11-11 07:03:56.657923200,RESPONSE,,,,,,,
853,284,2019-11-11 17:40:44.245603200,RISK,,,,,,,
854,284,2019-11-25 02:04:37.848806400,APPROVED,PLASTIC,48,0,43,,,
855,284,2019-11-27 04:30:55.747439999,DELIVERED,,,,,,53100,1
856,285,2019-11-14 05:55:36.172675200,RESPONSE,,,,,,,
857,285,2019-11-14 16:15:20.619504000,RISK,,,,,,,
858,285,2019-11-16 14:57:26.152790400,REJECTED,INCOME,,,,,,
859,286,2019-11-11 00:00:00.000000000,,,,,,,,
860,288,2020-02-01 05:03:18.653443200,RESPONSE,,,,,,,
861,288,2020-02-02 06:32:45.724156800,RISK,,,,,,,
862,288,2020-02-03 10:15:02.454595200,APPROVED,PLASTIC,44,5500,31,,,
863,288,2020-02-06 00:58:56.697081600,DELIVERED,,,,,,53100,3
864,288,2020-02-06 06:57:23.204851200,,,,,,152.489373380642,,
865,289,2019-11-12 17:00:10.839628799,RESPONSE,,,,,,,
866,289,2019-11-17 00:55:25.090348799,RISK,,,,,,,
867,289,2019-11-17 19:16:02.362367999,APPROVED,PLASTIC,48,18300,40,,,
868,289,2019-11-18 07:55:59.618668799,DELIVERED,,,,,,53100,2
869,290,2019-11-11 16:48:02.560204800,RESPONSE,,,,,,,
870,290,2019-11-14 05:31:28.941398400,RISK,,,,,,,
871,290,2019-11-14 20:38:06.240825600,REJECTED,USAGE,,,,,,
872,293,2019-11-11 00:00:00.000000000,,,,,,,,
873,294,2019-11-11 20:25:25.039632000,RESPONSE,,,,,,,
874,294,2019-11-14 02:59:01.977734400,RISK,,,,,,,
875,294,2019-11-14 20:17:17.291414400,APPROVED,DIGITAL,49,6500,44,,,
876,294,2019-12-05 00:22:32.626732800,,,,,,73.2393126955582,,
877,297,2020-01-23 08:14:02.676019200,RESPONSE,,,,,,,
878,297,2020-02-02 13:49:45.813561600,RISK,,,,,,,
879,297,2020-02-03 16:27:55.694678400,REJECTED,MOP,,,,,,
880,298,2019-11-11 18:36:32.550854399,RESPONSE,,,,,,,
881,298,2019-11-15 06:06:31.756348799,RISK,,,,,,,
882,298,2019-11-26 08:28:23.437315199,APPROVED,PLASTIC,36,2800,41,,,
883,298,2019-11-27 19:49:48.221961599,DELIVERED,,,,,,11560,1
884,298,2019-11-28 07:45:36.962639999,,,,,,24.6213802820653,,
885,298,2019-11-29 03:13:48.323366399,,,,,,169749.437996028,,
886,299,2019-11-13 10:50:48.855926400,RESPONSE,,,,,,,
887,299,2019-11-14 14:07:02.625830400,RISK,,,,,,,
888,299,2019-11-15 01:09:18.438134400,APPROVED,PLASTIC,41,7100,32,,,
889,299,2019-11-22 01:53:19.309430400,DELIVERED,,,,,,64000,2
890,299,2019-11-22 12:07:34.384944000,,,,,,417.717339715219,,
891,299,2020-01-15 00:33:20.918246400,,,,,,300.898546755551,,
892,299,2020-01-15 16:11:53.949667200,,,,,,2301.50935496748,,
893,300,2019-11-11 00:00:00.000000000,,,,,,,,
894,301,2019-11-20 09:10:30.567504000,RESPONSE,,,,,,,
895,301,2019-11-21 03:58:25.021027200,RISK,,,,,,,
896,301,2019-11-23 04:05:18.828470400,APPROVED,DIGITAL,49,7200,30,,,
897,301,2019-11-23 15:10:09.343171200,,,,,,83.92793960923,,
898,301,2019-11-24 00:35:43.132560000,,,,,,13098.9486848876,,
899,301,2019-11-24 03:26:03.145862400,,,,,,45164.0340821693,,
900,302,2019-11-11 00:00:00.000000000,,,,,,,,
901,303,2019-11-11 00:00:00.000000000,,,,,,,,
902,304,2019-11-11 00:00:00.000000000,,,,,,,,
903,305,2019-11-11 00:00:00.000000000,,,,,,,,
904,308,2019-11-12 03:05:30.210000000,RESPONSE,,,,,,,
905,308,2019-11-12 15:07:21.156585600,RISK,,,,,,,
906,308,2019-11-16 02:37:16.363833600,APPROVED,PLASTIC,38,21800,49,,,
907,308,2019-11-16 04:10:21.004608000,DELIVERED,,,,,,44100,0
908,308,2019-11-17 21:13:25.216464000,,,,,,1241.0366230031,,
909,308,2019-11-17 23:02:20.568710400,,,,,,385.676496780342,,
910,309,2019-11-11 20:24:34.955625600,RESPONSE,,,,,,,
911,309,2019-11-12 03:12:57.539347200,RISK,,,,,,,
912,309,2019-11-12 17:26:03.736896000,APPROVED,DIGITAL,37,12000,41,,,
913,309,2019-12-18 20:47:15.795283200,,,,,,53.3586115628064,,
914,309,2020-01-03 13:27:36.899049600,,,,,,4352.45478256652,,
915,311,2019-11-11 09:06:35.789673600,RESPONSE,,,,,,,
916,311,2019-11-14 06:33:41.279616000,RISK,,,,,,,
917,311,2019-11-17 04:38:51.639936000,REJECTED,USAGE,,,,,,
918,312,2019-11-11 14:56:59.070710400,RESPONSE,,,,,,,
919,312,2019-11-12 23:57:52.054041600,RISK,,,,,,,
920,312,2019-11-16 01:24:26.181849600,REJECTED,INCOME,,,,,,
921,313,2019-11-11 09:34:25.290048000,RESPONSE,,,,,,,
922,313,2019-11-11 21:13:05.804630400,RISK,,,,,,,
923,313,2019-11-20 10:23:44.557612800,APPROVED,DIGITAL,33,4200,48,,,
924,313,2019-11-20 11:10:49.078329600,,,,,,47.3284350674945,,
925,313,2019-12-09 06:57:47.369116800,,,,,,5314.11197170913,,
926,313,2020-03-10 19:34:17.235696000,,,,,,77.726510488469,,
927,314,2019-11-11 04:02:40.399555199,RESPONSE,,,,,,,
928,314,2019-11-13 07:11:37.011292799,RISK,,,,,,,
929,314,2019-11-13 19:01:54.003359999,APPROVED,DIGITAL,33,3600,36,,,
930,314,2019-11-13 20:18:21.713068799,,,,,,5.5142530268442,,
931,314,2019-11-14 10:04:19.993353599,,,,,,58.1202201799012,,
932,314,2019-11-14 14:37:34.881081599,,,,,,5709.74015489754,,
933,314,2019-11-15 00:39:47.202883199,,,,,,748.88793533278,,
934,316,2019-11-13 16:08:10.696560000,RESPONSE,,,,,,,
935,316,2019-11-14 09:02:17.451772800,RISK,,,,,,,
936,316,2019-11-15 23:06:58.239907200,REJECTED,MOP,,,,,,
937,317,2019-11-11 11:43:25.033670400,RESPONSE,,,,,,,
938,317,2019-11-13 23:59:21.171148800,RISK,,,,,,,
939,317,2019-11-14 16:26:03.817564799,REJECTED,MOP,,,,,,
940,318,2019-11-11 16:31:45.431587200,RESPONSE,,,,,,,
941,318,2019-11-15 03:50:55.843411200,RISK,,,,,,,
942,318,2019-11-15 15:40:16.546742400,APPROVED,PLASTIC,43,7300,35,,,
943,318,2019-11-17 00:06:51.790694400,DELIVERED,,,,,,53100,1
944,318,2019-11-17 15:56:31.047072000,,,,,,26.4638739834618,,
945,318,2020-01-09 12:58:34.968604800,,,,,,42.1646767697271,,
946,319,2019-11-11 00:00:00.000000000,,,,,,,,
947,320,2019-11-16 18:04:14.933913600,RESPONSE,,,,,,,
948,320,2019-11-18 18:47:35.064758400,RISK,,,,,,,
949,320,2019-11-21 05:41:12.077376000,REJECTED,USAGE,,,,,,
950,321,2019-11-11 00:00:00.000000000,,,,,,,,
951,322,2019-11-11 04:04:20.057808000,RESPONSE,,,,,,,
952,322,2019-11-14 20:20:34.315728000,RISK,,,,,,,
953,322,2019-11-20 18:07:39.351216000,APPROVED,PLASTIC,37,27100,34,,,
954,322,2019-11-26 06:52:37.323235200,DELIVERED,,,,,,53100,1
955,322,2019-12-02 02:27:51.356131200,,,,,,69.6003174570016,,
956,322,2019-12-21 07:10:44.537548800,,,,,,134.397794164944,,
957,322,2019-12-21 15:13:19.700947200,,,,,,134.67487422059,,
958,322,2019-12-23 06:13:30.053827200,,,,,,2780.5341186248,,
959,322,2019-12-24 00:56:39.127977600,,,,,,69.6103905589505,,
960,323,2019-11-17 01:25:05.632262400,RESPONSE,,,,,,,
961,323,2019-11-25 11:40:07.619779200,RISK,,,,,,,
962,323,2019-11-27 04:08:39.828998399,APPROVED,PLASTIC,39,37300,42,,,
963,323,2019-11-28 06:24:33.846537599,DELIVERED,,,,,,53100,2
964,323,2019-11-29 01:46:50.401343999,,,,,,280.641932410382,,
965,323,2019-12-03 18:16:38.509593598,,,,,,12100.4641756595,,
966,323,2019-12-17 09:18:44.055878398,,,,,,9.88364943384579,,
967,323,2019-12-26 22:28:29.640201598,,,,,,333.332556449045,,
968,323,2019-12-29 04:57:26.229052798,,,,,,147.180437894786,,
969,324,2019-11-15 21:22:10.715088000,RESPONSE,,,,,,,
970,324,2019-11-17 00:53:52.333296000,RISK,,,,,,,
971,324,2019-11-17 21:39:11.036966400,APPROVED,DIGITAL,30,8800,30,,,
972,325,2019-11-11 00:00:00.000000000,,,,,,,,
973,327,2019-11-11 01:07:25.084790400,RESPONSE,,,,,,,
974,327,2019-11-12 22:34:53.836377600,RISK,,,,,,,
975,327,2019-11-18 08:12:56.582611199,REJECTED,EMPTY,,,,,,
976,329,2019-11-11 00:00:00.000000000,,,,,,,,
977,332,2019-11-14 18:19:24.607632000,RESPONSE,,,,,,,
978,332,2019-11-18 22:27:57.264393600,RISK,,,,,,,
979,332,2019-11-21 15:27:54.268012799,REJECTED,USAGE,,,,,,
980,333,2019-11-11 06:29:25.176710400,RESPONSE,,,,,,,
981,333,2019-11-19 03:04:45.509232000,RISK,,,,,,,
982,333,2019-11-27 15:26:54.099139200,REJECTED,INCOME,,,,,,
983,334,2019-11-11 00:00:00.000000000,,,,,,,,
984,338,2019-11-11 17:36:36.400464000,RESPONSE,,,,,,,
985,338,2019-11-13 01:08:43.622390400,RISK,,,,,,,
986,338,2019-11-19 23:37:44.891731200,APPROVED,PLASTIC,33,62600,41,,,
987,338,2019-11-20 05:32:31.580707200,DELIVERED,,,,,,53100,3
988,338,2019-11-22 03:23:49.850793600,,,,,,263.14984807368,,
989,338,2019-11-29 15:03:07.462512000,,,,,,15.6471871093144,,
990,340,2019-11-11 00:00:00.000000000,,,,,,,,
991,341,2019-12-09 13:42:50.305334400,RESPONSE,,,,,,,
992,341,2019-12-10 10:38:50.502912000,RISK,,,,,,,
993,341,2019-12-10 16:22:02.949225600,APPROVED,PLASTIC,48,600,40,,,
994,341,2019-12-16 21:52:59.876140800,DELIVERED,,,,,,53100,2
995,341,2021-03-14 11:51:12.087532800,,,,,,81.0650486722217,,
996,341,2021-04-01 20:30:55.062835200,,,,,,535.151922414931,,
997,341,2021-04-02 05:29:53.166566400,,,,,,12.0150121492082,,
998,341,2021-04-02 08:20:54.043094400,,,,,,106.247333030357,,
999,341,2021-04-02 17:59:36.011990400,,,,,,2606.8828826019,,
1000,344,2019-11-11 00:00:00.000000000,,,,,,,,
1001,345,2019-11-11 22:01:10.624166400,RESPONSE,,,,,,,
1002,345,2019-11-15 14:38:48.476342400,RISK,,,,,,,
1003,345,2019-11-17 12:06:22.218998400,APPROVED,PLASTIC,43,10300,39,,,
1004,345,2019-11-20 12:58:09.170774400,DELIVERED,,,,,,44100,1
1005,345,2019-12-05 00:16:16.369593600,,,,,,10.0127486494439,,
1006,345,2019-12-05 07:14:15.105667200,,,,,,2294.77867809408,,
1007,345,2019-12-05 11:05:43.376553600,,,,,,166.251631160618,,
1008,345,2019-12-06 19:09:45.480038400,,,,,,660.750152506831,,
1009,345,2020-01-05 17:13:12.812505600,,,,,,3757.82865775549,,
1010,347,2019-11-20 00:57:12.120163200,RESPONSE,,,,,,,
1011,347,2019-11-21 07:58:45.805008000,RISK,,,,,,,
1012,347,2019-11-26 04:50:34.345478400,APPROVED,PLASTIC,45,27400,35,,,
1013,347,2019-11-27 05:31:57.618768000,DELIVERED,,,,,,11560,3
1014,348,2019-11-11 04:35:57.878390400,RESPONSE,,,,,,,
1015,348,2019-11-12 11:50:13.707225600,RISK,,,,,,,
1016,348,2019-11-17 15:43:58.923494400,APPROVED,DIGITAL,44,17700,47,,,
1017,348,2019-11-17 18:17:17.281593600,,,,,,216.002667690236,,
1018,348,2019-11-17 19:46:23.578636800,,,,,,604.539400668703,,
1019,349,2019-11-12 00:38:37.762425600,RESPONSE,,,,,,,
1020,349,2019-11-12 11:45:07.738387200,RISK,,,,,,,
1021,349,2019-11-18 11:33:46.096387200,APPROVED,PLASTIC,35,24700,33,,,
1022,349,2019-11-24 07:12:21.094905600,DELIVERED,,,,,,11560,2
1023,350,2019-11-11 00:11:53.712902400,RESPONSE,,,,,,,
1024,350,2019-11-20 00:45:00.748828800,RISK,,,,,,,
1025,350,2019-11-21 12:04:30.132019200,APPROVED,PLASTIC,34,18400,34,,,
1026,350,2019-11-22 23:05:10.444848000,DELIVERED,,,,,,53100,1
1027,351,2019-11-29 09:30:18.191577600,RESPONSE,,,,,,,
1028,351,2019-12-03 17:37:28.687152000,RISK,,,,,,,
1029,351,2019-12-04 22:02:32.273289600,APPROVED,PLASTIC,41,4700,47,,,
1030,351,2019-12-07 02:05:52.458144000,DELIVERED,,,,,,44620,1
1031,351,2019-12-07 12:21:11.110060800,,,,,,18.2739178893483,,
1032,351,2019-12-10 23:37:57.442800000,,,,,,972.31977649814,,
1033,352,2019-11-16 03:00:47.407334399,RESPONSE,,,,,,,
1034,352,2019-11-18 09:24:40.162723199,RISK,,,,,,,
1035,352,2019-11-18 23:51:02.836425599,APPROVED,PLASTIC,35,15500,47,,,
1036,352,2019-11-19 10:17:52.671321599,DELIVERED,,,,,,44100,3
1037,353,2019-11-11 02:02:29.649782400,RESPONSE,,,,,,,
1038,353,2019-11-12 08:24:23.609923200,RISK,,,,,,,
1039,353,2019-11-13 06:15:21.261081600,APPROVED,PLASTIC,45,900,40,,,
1040,353,2019-11-14 00:50:15.415468800,DELIVERED,,,,,,64000,2
1041,353,2019-11-28 20:19:43.116643199,,,,,,111.123571495878,,
1042,353,2019-11-29 05:38:21.229151999,,,,,,841.625333588798,,
1043,353,2019-11-29 10:21:12.842927999,,,,,,42.9885047700046,,
1044,354,2019-12-14 01:06:30.667824000,RESPONSE,,,,,,,
1045,354,2019-12-17 21:59:35.217225600,RISK,,,,,,,
1046,354,2019-12-20 11:15:42.588201600,APPROVED,PLASTIC,33,100,49,,,
1047,354,2019-12-20 19:16:23.542982399,DELIVERED,,,,,,64000,2
1048,354,2019-12-20 22:57:46.693843199,,,,,,2427.52847175609,,
1049,354,2019-12-21 14:55:21.433958399,,,,,,722.047946560638,,
1050,354,2019-12-24 04:22:01.466428799,,,,,,38.2687972341638,,
1051,356,2019-11-11 03:43:46.970572800,RESPONSE,,,,,,,
1052,356,2019-11-11 19:55:53.793494400,RISK,,,,,,,
1053,356,2019-11-12 16:17:52.493596800,REJECTED,INCOME,,,,,,
1054,357,2019-11-11 11:52:30.887616000,RESPONSE,,,,,,,
1055,357,2019-11-13 00:16:20.536233600,RISK,,,,,,,
1056,357,2019-11-14 05:23:29.331542400,REJECTED,EMPTY,,,,,,
1057,360,2019-11-11 00:00:00.000000000,,,,,,,,
1058,362,2019-11-12 10:39:05.915116800,RESPONSE,,,,,,,
1059,362,2019-11-13 21:53:08.299881600,RISK,,,,,,,
1060,362,2019-11-14 02:19:25.536576000,APPROVED,DIGITAL,46,24500,45,,,
1061,362,2020-02-01 21:27:15.904771200,,,,,,16650.240692304,,
1062,362,2020-02-11 02:43:10.081545600,,,,,,0.625569790413922,,
1063,362,2020-02-12 19:26:01.476038400,,,,,,1280.29433588713,,
1064,362,2020-02-13 14:35:57.822777599,,,,,,184.007962202067,,
1065,362,2020-02-19 10:32:50.994412799,,,,,,623.936245860011,,
1066,363,2019-11-11 00:00:00.000000000,,,,,,,,
1067,364,2019-11-11 11:48:47.643062400,RESPONSE,,,,,,,
1068,364,2019-11-13 13:08:16.266163200,RISK,,,,,,,
1069,364,2019-11-16 04:38:40.160313600,APPROVED,DIGITAL,32,9000,37,,,
1070,365,2019-11-11 11:38:42.644515200,RESPONSE,,,,,,,
1071,365,2019-11-30 17:36:57.930480000,RISK,,,,,,,
1072,365,2019-12-03 00:02:38.185699200,REJECTED,MOP,,,,,,
1073,369,2019-11-26 23:59:04.030339200,RESPONSE,,,,,,,
1074,369,2019-12-01 04:15:39.094761600,RISK,,,,,,,
1075,369,2019-12-01 21:21:44.121772800,APPROVED,PLASTIC,36,27100,39,,,
1076,369,2019-12-03 11:49:13.378080000,DELIVERED,,,,,,11560,3
1077,370,2019-12-23 13:39:59.405961600,RESPONSE,,,,,,,
1078,370,2019-12-24 03:34:46.802611200,RISK,,,,,,,
1079,370,2019-12-25 07:02:02.615625600,APPROVED,PLASTIC,48,3500,46,,,
1080,370,2019-12-25 21:05:38.953680000,DELIVERED,,,,,,44100,1
1081,370,2019-12-25 22:57:21.066912000,,,,,,547.004193215966,,
1082,370,2020-02-10 06:58:09.454512000,,,,,,15.6506935713623,,
1083,370,2020-02-10 16:28:43.726684800,,,,,,4263.86281549339,,
1084,370,2020-02-13 19:47:38.585068799,,,,,,2303.54707943326,,
1085,375,2020-06-06 15:43:48.382262400,RESPONSE,,,,,,,
1086,375,2020-06-09 12:50:28.868208000,RISK,,,,,,,
1087,375,2020-06-11 05:12:05.975193600,REJECTED,INCOME,,,,,,
1088,376,2019-11-19 16:22:58.031904000,RESPONSE,,,,,,,
1089,376,2019-11-21 00:53:43.835510400,RISK,,,,,,,
1090,376,2019-11-21 13:49:27.612710400,REJECTED,INCOME,,,,,,
1091,377,2019-12-23 00:13:09.103900800,RESPONSE,,,,,,,
1092,377,2019-12-24 06:52:16.617388800,RISK,,,,,,,
1093,377,2019-12-25 08:54:29.190124800,APPROVED,PLASTIC,49,12900,36,,,
1094,377,2019-12-26 05:10:00.327561600,DELIVERED,,,,,,11560,3
1095,377,2020-08-06 07:16:25.355481600,,,,,,163.527956485698,,
1096,377,2020-09-10 22:23:46.591555200,,,,,,300.936388314478,,
1097,377,2020-09-11 15:03:25.948396800,,,,,,14.3567168008956,,
1098,380,2019-11-12 22:41:16.972339200,RESPONSE,,,,,,,
1099,380,2019-11-16 09:18:57.790108800,RISK,,,,,,,
1100,380,2019-11-16 17:27:31.144233599,APPROVED,DIGITAL,32,17900,47,,,
1101,380,2019-11-16 20:28:23.255097599,,,,,,2914.03258806833,,
1102,380,2019-11-17 05:13:06.454761599,,,,,,476.294017283035,,
1103,380,2019-11-19 05:57:02.394950399,,,,,,5.4059728785525,,
1104,380,2019-11-19 08:41:36.231705599,,,,,,21.5828531128165,,
1105,380,2019-11-22 05:03:38.476281599,,,,,,1690.5621448314,,
1106,381,2019-11-11 07:43:22.142956800,RESPONSE,,,,,,,
1107,381,2019-11-12 17:45:55.260892800,RISK,,,,,,,
1108,381,2019-11-20 14:06:41.267491200,APPROVED,PLASTIC,34,14200,33,,,
1109,381,2020-01-02 15:09:54.696470400,DELIVERED,,,,,,64000,3
1110,381,2020-01-19 16:56:22.362259200,,,,,,83.170801624162,,
1111,381,2020-02-23 04:35:52.094601600,,,,,,613.006470249859,,
1112,382,2019-11-11 00:00:00.000000000,,,,,,,,
1113,385,2019-11-17 09:03:58.835088000,RESPONSE,,,,,,,
1114,385,2019-11-19 15:48:12.751228800,RISK,,,,,,,
1115,385,2019-11-22 10:25:03.372211200,APPROVED,DIGITAL,42,2400,32,,,
1116,386,2019-12-09 07:24:25.678483200,RESPONSE,,,,,,,
1117,386,2019-12-10 20:29:22.614835200,RISK,,,,,,,
1118,386,2019-12-13 09:54:12.683606400,REJECTED,EMPTY,,,,,,
1119,387,2019-12-08 02:15:06.735139200,RESPONSE,,,,,,,
1120,387,2019-12-25 04:05:47.116867200,RISK,,,,,,,
1121,387,2019-12-26 04:07:18.605654400,APPROVED,PLASTIC,31,21900,46,,,
1122,387,2019-12-27 01:08:27.112214400,DELIVERED,,,,,,11560,2
1123,387,2019-12-27 14:16:21.860371200,,,,,,9606.99778214505,,
1124,387,2019-12-27 21:08:11.346777600,,,,,,539.204172452343,,
1125,387,2019-12-28 17:01:11.993548800,,,,,,5323.68682140256,,
1126,387,2019-12-30 06:12:11.848953600,,,,,,384.416795561361,,
1127,387,2020-03-23 22:51:51.148512000,,,,,,825.840521832494,,
1128,388,2019-11-16 16:24:52.381008000,RESPONSE,,,,,,,
1129,388,2019-11-27 13:43:42.051244800,RISK,,,,,,,
1130,388,2019-11-28 09:44:18.531456000,APPROVED,DIGITAL,44,5700,35,,,
1131,388,2019-11-29 18:35:08.182550400,,,,,,98294.295137079,,
1132,388,2020-01-04 22:56:29.160297600,,,,,,572.387149012424,,
1133,392,2019-11-14 15:43:12.669859200,RESPONSE,,,,,,,
1134,392,2019-11-16 15:20:26.133331200,RISK,,,,,,,
1135,392,2019-11-17 22:47:05.175657600,APPROVED,DIGITAL,47,3500,35,,,
1136,393,2019-11-14 07:05:19.381603200,RESPONSE,,,,,,,
1137,393,2019-11-15 01:35:48.688800000,RISK,,,,,,,
1138,393,2019-11-17 21:23:58.675776000,APPROVED,PLASTIC,41,11300,31,,,
1139,393,2019-11-18 23:58:11.887161600,DELIVERED,,,,,,44100,2
1140,393,2019-11-27 15:44:03.071299200,,,,,,1238.6034976591,,
1141,393,2019-11-27 20:02:15.360691200,,,,,,2608.76393492516,,
1142,393,2019-12-13 04:35:20.115110400,,,,,,83.7120133006674,,
1143,397,2019-11-20 11:16:50.038521600,RESPONSE,,,,,,,
1144,397,2019-12-03 22:42:47.930976000,RISK,,,,,,,
1145,397,2019-12-09 11:35:03.904511999,APPROVED,DIGITAL,32,4700,39,,,
1146,397,2019-12-09 18:00:11.142143999,,,,,,697.808207002884,,
1147,397,2019-12-12 11:42:50.788857599,,,,,,117.071780593204,,
1148,397,2019-12-13 21:57:00.436031999,,,,,,66.2752366483435,,
1149,398,2019-11-28 22:40:06.038371200,RESPONSE,,,,,,,
1150,398,2019-11-29 05:51:32.418230400,RISK,,,,,,,
1151,398,2019-11-29 18:35:13.272374400,APPROVED,PLASTIC,31,3800,36,,,
1152,398,2019-12-03 15:03:57.439296000,DELIVERED,,,,,,44100,0
1153,398,2019-12-06 09:42:29.805264000,,,,,,133.955587058563,,
1154,398,2019-12-07 06:40:01.082179200,,,,,,749.889738206906,,
1155,398,2019-12-10 15:35:58.046236800,,,,,,12.2835407905768,,
1156,398,2019-12-11 15:26:56.061974400,,,,,,992.053761581115,,
1157,399,2019-11-14 03:28:08.521161600,RESPONSE,,,,,,,
1158,399,2019-11-15 10:54:27.233740800,RISK,,,,,,,
1159,399,2019-11-16 17:08:26.382681600,APPROVED,PLASTIC,42,1400,31,,,
1160,399,2019-12-11 17:26:11.290934400,DELIVERED,,,,,,11560,1
1161,399,2020-01-08 03:52:39.319680000,,,,,,27.5214373500602,,
1162,399,2020-01-20 13:19:23.909980800,,,,,,8.46654375924691,,
1163,399,2020-01-21 01:05:13.699680000,,,,,,2492.68831153797,,
1164,399,2020-01-21 03:23:44.461161600,,,,,,232.94969017893,,
1165,399,2020-02-24 18:18:27.356486400,,,,,,91.6477632550374,,
1166,400,2019-11-11 00:00:00.000000000,,,,,,,,
1167,401,2019-11-11 00:00:00.000000000,,,,,,,,
1168,402,2019-11-11 00:00:00.000000000,,,,,,,,
1169,405,2019-11-11 00:00:00.000000000,,,,,,,,
1170,406,2019-12-21 10:39:46.887206400,RESPONSE,,,,,,,
1171,406,2019-12-28 17:48:04.706841600,RISK,,,,,,,
1172,406,2020-01-06 12:09:22.511174400,APPROVED,DIGITAL,31,6100,30,,,
1173,406,2020-01-12 00:07:36.920870400,,,,,,578.356237382591,,
1174,406,2020-01-15 01:59:09.549628800,,,,,,1350.73014887894,,
1175,406,2020-01-15 14:49:24.336969600,,,,,,275.711229244619,,
1176,406,2020-01-19 09:21:55.868630400,,,,,,2159.85184224516,,
1177,407,2019-11-17 09:12:20.484460800,RESPONSE,,,,,,,
1178,407,2019-11-17 16:47:40.720790400,RISK,,,,,,,
1179,407,2019-11-19 23:38:21.279264000,APPROVED,PLASTIC,35,2100,46,,,
1180,407,2019-11-24 18:20:54.507609600,DELIVERED,,,,,,11560,1
1181,408,2019-11-24 16:50:38.372236800,RESPONSE,,,,,,,
1182,408,2019-11-25 07:27:35.993059200,RISK,,,,,,,
1183,408,2019-11-25 11:32:52.689177600,REJECTED,USAGE,,,,,,
1184,410,2019-11-11 00:00:00.000000000,,,,,,,,
1185,411,2019-11-13 00:26:32.980473600,RESPONSE,,,,,,,
1186,411,2019-11-14 10:11:03.848035200,RISK,,,,,,,
1187,411,2019-11-17 15:22:19.579209600,APPROVED,PLASTIC,44,7300,49,,,
1188,411,2019-11-19 02:52:27.301324800,DELIVERED,,,,,,44100,4
1189,412,2019-11-13 16:57:41.353200000,RESPONSE,,,,,,,
1190,412,2019-11-21 21:08:47.304470400,RISK,,,,,,,
1191,412,2019-11-23 08:20:46.241520000,APPROVED,DIGITAL,36,2200,37,,,
1192,413,2019-11-11 00:58:51.339763200,RESPONSE,,,,,,,
1193,413,2019-11-17 14:30:07.883856000,RISK,,,,,,,
1194,413,2019-11-18 03:55:55.404825600,REJECTED,USAGE,,,,,,
1195,414,2019-11-11 00:00:00.000000000,,,,,,,,
1196,415,2019-11-11 19:32:40.295414400,RESPONSE,,,,,,,
1197,415,2019-11-13 05:52:58.690704000,RISK,,,,,,,
1198,415,2019-11-14 19:46:59.954851200,REJECTED,MOP,,,,,,
1199,417,2019-11-11 00:00:00.000000000,,,,,,,,
1200,419,2019-11-19 21:19:49.900886400,RESPONSE,,,,,,,
1201,419,2019-11-22 01:25:36.265728000,RISK,,,,,,,
